gene	esophagus1	esophagus2	esophagus3	esophagus4	sigmoid_colon1	sigmoid_colon2	sigmoid_colon3	sigmoid_colon4
ENSG00000048707.13	9621	7998	13088	11472	4113	5702	6501	5300
ENSG00000239149.1	38	22	82	48	25	22	10	13
ENSG00000229484.1	2	0	1	4	0	1	6	0
ENSG00000162496.8	2550	2586	3458	2336	947	830	1322	1135
ENSG00000221340.1	12	0	23	4	5	3	3	13
ENSG00000276830.1	0	0	0	2	0	1	0	1
ENSG00000272482.1	55	19	53	56	48	27	50	10
ENSG00000204518.2	0	0	2	0	12	13	1	0
ENSG00000226166.2	0	0	0	0	0	0	0	0
ENSG00000188984.11	0	0	0	0	0	0	0	0
ENSG00000157330.9	0	0	0	0	0	0	0	0
ENSG00000116726.4	0	0	0	0	0	0	0	0
ENSG00000116721.9	0	0	0	0	0	0	0	0
ENSG00000228338.1	0	0	0	0	0	0	0	0
ENSG00000239810.3	0	0	0	0	0	0	0	0
ENSG00000231103.2	0	0	0	0	0	0	0	0
ENSG00000179172.9	0	0	0	0	0	0	0	0
ENSG00000120952.4	0	0	0	0	0	0	0	0
ENSG00000243073.3	0	0	0	0	0	0	0	0
ENSG00000187545.5	0	0	0	0	0	0	0	0
ENSG00000204510.5	0	0	0	0	0	0	0	0
ENSG00000207434.1	0	0	0	0	0	0	0	0
ENSG00000234064.1	0	0	0	0	0	0	0	0
ENSG00000232423.6	0	0	0	0	0	0	0	0
ENSG00000274178.2	0	0	0	0	0	0	0	0
ENSG00000274764.5	0	0	0	0	0	0	0	0
ENSG00000229571.6	0	0	0	0	0	0	0	0
ENSG00000277058.2	0	0	0	0	0	0	0	0
ENSG00000277862.1	0	0	0	0	0	0	0	0
ENSG00000236179.1	0	0	0	0	0	0	0	0
ENSG00000275774.2	0	0	0	0	0	0	0	0
ENSG00000229978.1	0	0	0	0	0	0	0	0
ENSG00000233336.1	0	0	0	0	0	0	0	0
ENSG00000280267.4	0	0	0	0	0	0	0	0
ENSG00000179412.10	0	0	0	0	0	0	0	0
ENSG00000204505.4	0	0	0	0	0	0	0	0
ENSG00000279169.1	0	0	0	0	0	0	0	0
ENSG00000279804.1	0	0	0	0	0	0	0	0
ENSG00000250894.1	0	0	0	0	0	0	0	0
ENSG00000270601.4	0	0	0	0	0	0	0	0
ENSG00000231219.1	0	0	0	0	0	0	0	0
ENSG00000207511.1	0	0	0	0	0	0	0	0
ENSG00000182330.10	0	0	0	0	0	0	0	0
ENSG00000204501.6	0	0	0	0	0	0	0	0
ENSG00000237700.1	0	0	0	0	0	0	0	0
ENSG00000228229.2	0	0	0	0	0	0	0	0
ENSG00000204481.7	0	0	0	0	0	0	0	0
ENSG00000204480.7	0	0	0	0	0	0	0	0
ENSG00000204479.4	0	0	0	0	0	0	0	0
ENSG00000204478.9	0	0	0	0	0	0	0	0
ENSG00000162494.5	0	0	6	1	0	0	0	2
ENSG00000259961.1	0	0	3	0	0	0	0	0
ENSG00000215909.3	0	0	1	0	0	0	0	0
ENSG00000162493.16	138	685	614	786	304	179	217	272
ENSG00000222952.1	0	0	0	0	0	0	0	0
ENSG00000237445.2	0	0	0	0	0	0	0	0
ENSG00000253085.1	0	0	4	0	0	0	0	0
ENSG00000116731.22	1664	1204	2213	2098	1322	1692	2023	1737
ENSG00000189337.16	2157	1074	1593	2134	297	171	388	206
ENSG00000252151.1	0	0	0	0	0	0	0	0
ENSG00000231606.1	0	0	2	0	1	2	0	0
ENSG00000234593.2	0	0	0	0	0	0	0	0
ENSG00000235829.1	0	0	0	0	0	0	0	0
ENSG00000175147.11	164	173	83	350	46	100	81	47
ENSG00000171729.13	462	539	284	683	179	254	273	375
ENSG00000204464.7	0	1	0	5	0	0	0	0
ENSG00000215720.4	0	0	0	0	0	0	0	0
ENSG00000278480.1	6	0	1	23	0	1	0	2
ENSG00000142621.19	0	13	10	7	5	3	19	18
ENSG00000233485.1	0	0	0	0	33	14	6	12
ENSG00000236045.1	0	0	0	0	0	0	0	14
ENSG00000228140.1	0	0	1	6	0	0	2	0
ENSG00000142634.12	1424	2092	1618	2804	398	877	1063	864
ENSG00000162438.11	0	0	4	0	1	3	4	0
ENSG00000142615.7	0	0	0	0	0	0	0	0
ENSG00000215704.9	0	0	0	0	0	0	0	0
ENSG00000132906.17	214	276	288	375	118	185	172	224
ENSG00000116138.12	708	943	1039	1180	441	692	628	802
ENSG00000251866.1	1	2	7	4	0	1	4	0
ENSG00000272510.1	0	0	0	0	0	0	0	0
ENSG00000116771.5	9	49	13	73	0	0	7	2
ENSG00000237301.1	0	36	6	1	6	2	0	1
ENSG00000235084.3	13	1	9	4	10	15	1	6
ENSG00000252417.1	0	0	0	0	0	0	0	0
ENSG00000236500.1	0	0	0	0	0	0	0	0
ENSG00000197312.11	3754	2663	3119	4783	510	1351	817	1134
ENSG00000215695.1	0	0	0	0	0	0	0	0
ENSG00000271742.1	0	0	0	0	0	0	0	0
ENSG00000116786.11	3277	1694	2099	2756	1063	1325	1438	1188
ENSG00000237938.5	0	0	0	0	0	0	0	0
ENSG00000162461.7	47	43	39	45	26	69	67	8
ENSG00000224459.1	0	0	0	0	0	0	0	3
ENSG00000162460.6	0	0	0	0	4	0	0	0
